,GTAA 추세추종,VOO 단순보유,60/40 (VOO+BND)
2020-07-31,1.3783150949239509,1.72518373425094,1.5362593649596152
2020-08-31,1.3922773298978888,1.8454460139859068,1.5947276334606284
2020-09-30,1.3673698840187245,1.7761260582549814,1.5581578766427457
2020-10-31,1.3425724649616286,1.730921963900971,1.5308962750792676
2020-11-30,1.3946166295662672,1.9203982687028804,1.6388757770218771
2020-12-31,1.4216306613067802,1.992305877277987,1.676695782053534
2021-01-31,1.4082480315491641,1.9719585853170152,1.6606413452781694
2021-02-28,1.4172197027911402,2.026506949739915,1.6779227991527206
2021-03-31,1.4346561847316774,2.1192247711018086,1.7154510920884913
2021-04-30,1.457699523453969,2.2313236973396484,1.7758375235945565
2021-05-31,1.4694001301120527,2.2462153688949322,1.7840417262027883
2021-06-30,1.4526153120526437,2.2969697328941097,1.8146332266194662
2021-07-31,1.4570462811812637,2.3531797172989743,1.8497578370981933
2021-08-31,1.4683121576522962,2.422639639177978,1.8811175094596497
2021-09-30,1.4238107711775898,2.3096559815642403,1.8208534900350342
2021-10-31,1.4487883596604847,2.472222455924048,1.8982622406265826
2021-11-30,1.442672014046494,2.4540681581602177,1.891448537850747
2021-12-31,1.4478989300423981,2.565979506814363,1.9408537776950021
2022-01-31,1.4036009400756522,2.431500146467308,1.8637920805401427
2022-02-28,1.3903818627479272,2.359029040298778,1.8219780034512765
2022-03-31,1.378328366600283,2.448417502958028,1.8433435997424392
2022-04-30,1.3442965300931795,2.2333398217458447,1.7168961735491557
2022-05-31,1.3419393986399564,2.2391193528821938,1.7252604535558298
2022-06-30,1.333964107931514,2.0540672785915275,1.6282398589560398
2022-07-31,1.3394310649167274,2.2430244466556886,1.733623539208907
2022-08-31,1.3285810435893448,2.150411217483684,1.671275779315409
2022-09-30,1.3127402545576519,1.9525973663418892,1.5510686752769347
2022-10-31,1.3110891459957283,2.1111013806169066,1.6194316356264937
2022-11-30,1.3201857266278096,2.227317070745622,1.6966680034327009
2022-12-31,1.3001924389089554,2.0996377324260265,1.6328413911109925
2023-01-31,1.3438355761200664,2.2317087954574486,1.7161043118445218
2023-02-28,1.3015767948618764,2.1759519801385743,1.672078945246497
2023-03-31,1.3478225038370524,2.2566791769378622,1.7271953127407655
2023-04-30,1.3620222467855128,2.2925634761778384,1.7477361453616915
2023-05-31,1.3389946333968736,2.303605122608052,1.7446510351803313
2023-06-30,1.3626033388522973,2.4535669952174417,1.8112346872832448
2023-07-31,1.3808173363213843,2.534291706279127,1.846130020743583
2023-08-31,1.3599705228646317,2.4930254027086134,1.8232163648646067
2023-09-30,1.3245174137563913,2.3747580230049286,1.7532402855439533
2023-10-31,1.3222927243635108,2.3231749523312017,1.7197281559671365
2023-11-30,1.3401151326564784,2.5362196826057266,1.8455917236250519
2023-12-31,1.3814571858988802,2.6523437828643197,1.9225401651055427
2024-01-31,1.3707355215672572,2.6949707409563137,1.9398243767666574
2024-02-29,1.3850401688884344,2.835299233092587,1.9898526064842108
2024-03-31,1.4307194078628394,2.928300428541163,2.0357780064010256
2024-04-30,1.395267702299399,2.8109126175275865,1.9672010621427043
2024-05-31,1.4288549202096446,2.9521803360564274,2.039743493584505
2024-06-30,1.4410927655685128,3.057488800796048,2.0905854840404707
2024-07-31,1.484475303668932,3.0929465092213215,2.124818441962433
2024-08-31,1.516025067895028,3.166979805867717,2.167673029591495
2024-09-30,1.5558337678360437,3.2359018523716605,2.207392882216202
2024-10-31,1.5275224021316134,3.2052398966239086,2.1731606391438056
2024-11-30,1.5441358044996703,3.3939962935740233,2.2592340846171695
2024-12-31,1.4996540586131224,3.3147938099779792,2.212409815047835
2025-01-31,1.532150706359451,3.404121658881846,2.253474000583464
2025-02-28,1.5490661182312606,3.3610572109718158,2.2558086578198457
2025-03-31,1.5585218934634508,3.172568317629845,2.1800154126931
2025-04-30,1.5903633460399849,3.14682525417623,2.1728559054771015
2025-05-31,1.6011662227902588,3.3444979919064384,2.2488902764000893
2025-06-30,1.637896479057526,3.5174988278791153,2.3323300501374185
2025-07-31,1.6391850880191592,3.5979388263800245,2.3618537263770207
2025-08-31,1.6826199661372954,3.672619944487743,2.4021714776778516
2025-09-30,1.7502882493902738,3.8029792903639805,2.4639502466889502
2025-10-31,1.7843983647084876,3.8940200036865398,2.505284255807177
2025-11-30,1.8089609383688412,3.9025281098680717,2.514554181665801
2025-12-31,1.8156752900482267,3.9056004815447363,2.5127229473253143
2026-01-31,1.8867522016029685,3.9622106697036,2.53674678219744
2026-02-28,1.9599697953517383,3.9299507670986236,2.5406063225908637
2026-03-31,1.841972567159719,3.7331312109978203,2.4466075911948906
2026-04-30,1.86680301697803,4.12690455302996,2.6029164189877285
2026-05-31,1.8962970987486334,4.345000875744478,2.6883216947188346
2026-06-30,1.850246046955517,4.303268783189377,2.6757230498882896
2026-07-31,1.82483394468915,4.201891608073369,2.6264041169824934
