ticker,entry_date,exit_date,hold_days,hold_return_pct,cut_8pct_hit,cut_8pct_hit_date,cut_8pct_post_cut_return,cut_8pct_better_to_cut,cut_20pct_hit,cut_20pct_hit_date,cut_20pct_post_cut_return,cut_20pct_better_to_cut
MATIC-USD,2021-12-31,2022-03-04,63,-41.63,True,2022-01-05,-36.56,True,True,2022-01-08,-27.04,True
MATIC-USD,2022-10-26,2023-05-18,204,-6.98,True,2022-11-09,1.11,False,False,,,
MATIC-USD,2023-11-25,2024-05-04,161,-6.42,True,2024-04-13,1.72,False,False,,,
MATIC-USD,2024-12-14,2025-02-08,56,-48.66,True,2024-12-18,-44.19,True,True,2024-12-19,-35.82,True
SAND-USD,2021-12-31,2022-03-30,89,-39.7,True,2022-01-05,-34.46,True,True,2022-01-08,-24.62,True
SAND-USD,2023-03-02,2023-03-27,25,-13.61,True,2023-03-04,-6.1,True,True,2023-03-09,7.98,False
SAND-USD,2023-12-07,2024-05-15,160,-5.49,True,2024-04-13,2.73,False,False,,,
SAND-USD,2024-11-28,2025-03-08,100,-51.5,True,2024-12-19,-47.28,True,True,2025-01-28,-39.37,True
SAND-USD,2025-08-26,2025-10-10,45,-33.72,True,2025-09-25,-27.95,True,True,2025-10-10,0.0,True
SOL-USD,2021-12-31,2022-02-04,35,-34.13,True,2022-01-05,-28.4,True,True,2022-01-10,-17.66,True
SOL-USD,2023-04-16,2023-06-19,64,-36.63,True,2023-04-19,-31.11,True,True,2023-05-11,-20.78,True
SOL-USD,2023-08-05,2023-09-23,49,-13.95,True,2023-08-22,-6.47,True,True,2023-09-11,7.56,False
SOL-USD,2023-10-22,2024-09-06,320,330.46,False,,,,False,,,
SOL-USD,2024-10-30,2025-03-13,134,-29.52,True,2024-11-04,-23.39,True,True,2025-02-26,-11.9,True
SOL-USD,2025-08-05,2025-11-22,109,-22.27,True,2025-11-13,-15.51,True,True,2025-11-17,-2.84,True
TRUMP-USD,2021-12-31,2022-02-16,47,-80.88,True,2022-01-22,-79.22,True,True,2022-01-27,-76.1,True
