,Risk Parity,동일 비중(1/3),60/40 (VOO+BND)
2022-06-30,1.3233178677153379,1.5986768490121726,1.6882063115904922
2022-07-31,1.3554417194744974,1.6465988237436182,1.7974706663245308
2022-08-31,1.3140599940809896,1.5924272313871135,1.732827404055723
2022-09-30,1.2543995905239453,1.5060639938894995,1.6081928404190011
2022-10-31,1.2557935298536642,1.5320459056100912,1.679073621539529
2022-11-30,1.3261727259398206,1.622246386073198,1.7591545754504565
2022-12-31,1.322429789667444,1.6027366353026193,1.692976694505441
2023-01-31,1.3834732103330967,1.6848096298335296,1.779306686067064
2023-02-28,1.3353705251247263,1.6256619150402944,1.7336599798178771
2023-03-31,1.395891150525173,1.7031615151892523,1.7908060786001425
2023-04-30,1.4080453754963789,1.7204227396702552,1.8121034932609799
2023-05-31,1.395689456119229,1.7088147891003747,1.8089043452144218
2023-06-30,1.4043639021487253,1.7319679179601115,1.8779399771081748
2023-07-31,1.422399866721343,1.7634909718253866,1.914121165797043
2023-08-31,1.4075407200858412,1.742525685599862,1.8903635421345695
2023-09-30,1.3566860242326535,1.6729189324310716,1.8178101854702102
2023-10-31,1.3664225558243686,1.6934396414163955,1.7830641348343224
2023-11-30,1.4370518093917537,1.7851289341247731,1.9135628317618656
2023-12-31,1.4845717558201568,1.8411587951043975,1.993345418689133
2024-01-31,1.483646174665399,1.8412885278073026,2.011265848935558
2024-02-29,1.4967699210422467,1.8676826007268366,2.0631367780599725
2024-03-31,1.5496828706013044,1.9473595212002277,2.1107538878809993
2024-04-30,1.5287893418356173,1.9251102078243878,2.0396511969085807
2024-05-31,1.567235531336588,1.9785323723041646,2.1148651448415214
2024-06-30,1.5869939746997819,2.0069777706275764,2.1675792302235184
2024-07-31,1.63306630066183,2.0663919000113258,2.2030736969363245
2024-08-31,1.6635191551866666,2.1072891383131473,2.247505627616847
2024-09-30,1.7065337934869127,2.1675696685816974,2.2886890374389424
2024-10-31,1.7038282763409458,2.174044242992933,2.2531957275463697
2024-11-30,1.722455580490121,2.2018228831950912,2.342439133078943
2024-12-31,1.6919793204082414,2.162018055573705,2.293890653590724
2025-01-31,1.739268802716345,2.234650188490716,2.3364669550542967
2025-02-28,1.7593557765277787,2.2548598816118397,2.3388873194967785
2025-03-31,1.7724076417864516,2.2838034470843427,2.260302875955846
2025-04-30,1.7950857832034353,2.3219363178036927,2.252879799704576
2025-05-31,1.8160406674188792,2.364903232954649,2.3317145180014567
2025-06-30,1.8550356338470129,2.4208287961519037,2.4182273382899266
2025-07-31,1.859710995120158,2.4321882822947454,2.448838225714025
2025-08-31,1.9009147863398796,2.4988080054900546,2.4906411884171606
2025-09-30,1.974716821608277,2.635518882607508,2.5546950578338565
2025-10-31,2.0063373320238944,2.6931099593675047,2.597551258053473
2025-11-30,2.033535302995724,2.7486203057973464,2.6071624492693997
2025-12-31,2.0364467084283264,2.7665039281500166,2.605263737413081
2026-01-31,2.0850097759977366,2.8950422357945182,2.63017230297301
2026-02-28,2.1311872789914807,2.986791554844641,2.63417426879224
2026-03-31,2.0560022773203954,2.8096080207133456,2.5367135616227254
2026-04-30,2.091096407488719,2.8953679001763937,2.6987790613304665
2026-05-31,2.115905992847377,2.934134883060474,2.7873298664138657
2026-06-30,2.084391393657003,2.8097919875394366,2.7705082246406194
2026-07-31,2.0938948847093664,2.849613857917794,2.779335843630292
