,Dual Momentum,VOO (Buy&Hold),60/40 (VOO+BND)
2018-10-31,1.3017110516711368,1.4801678004293342,1.279323327653354
2018-11-30,1.326249766402608,1.508070625225064,1.2970489424287777
2018-12-31,1.2089142584834787,1.3746491255412816,1.237922298172913
2019-01-31,1.3046551924714251,1.483515565209331,1.30224657667124
2019-02-28,1.3034787624053426,1.5317279921121945,1.3271697183537092
2019-03-31,1.3287515701217067,1.56122318404524,1.3527962881720323
2019-04-30,1.3823543397400122,1.6242040215011604,1.3854063205700031
2019-05-31,1.294603778944375,1.5211010690699758,1.3427600786685727
2019-06-30,1.3851118055991731,1.6274439195568526,1.4057817129656383
2019-07-31,1.4053362180701552,1.6512066923304711,1.418939046714266
2019-08-31,1.3822811226422265,1.62411799471248,1.420689179041804
2019-09-30,1.4095431904778526,1.6561496952252366,1.4342747627303476
2019-10-31,1.4139272348684169,1.6922983774055718,1.4548426477564276
2019-11-30,1.413339975811286,1.7536596759732823,1.48625176019693
2019-12-31,1.4553680206113604,1.8058077002896413,1.5123259976895596
2020-01-31,1.4548272459073333,1.8051367118449153,1.5239632147790634
2020-02-29,1.336990752110735,1.6589262380269991,1.460066212008307
2020-03-31,1.1706503042145848,1.4525324892112772,1.3427311933686918
2020-04-30,1.3203305280078195,1.6382543800862444,1.460562043080606
2020-05-31,1.3291589880539616,1.7158430584276725,1.5059723329550618
2020-06-30,1.3380799823170864,1.7474503669519326,1.5266602073424813
2020-07-31,1.4167794574240948,1.8502270533025675,1.5894132817468636
2020-08-31,1.5155434287116556,1.9792067407269478,1.6499047380287146
2020-09-30,1.458615351499783,1.9048621643724821,1.6120697125158712
2020-10-31,1.4214920450373756,1.856381403612674,1.5838646277584867
2020-11-30,1.5770967855926223,2.059591648572673,1.6955803401789222
2020-12-31,1.636149774856173,2.1367112297052655,1.7347088351566264
2021-01-31,1.6194401963510645,2.114889545294591,1.718099191283273
2021-02-28,1.6642371801812972,2.173391657923857,1.735978289430359
2021-03-31,1.7403799143759922,2.272829397496672,1.7748048377514327
2021-04-30,1.8324390752303166,2.3930530138290886,1.837280874094336
2021-05-31,1.8446690966782109,2.409024671539673,1.845769456705575
2021-06-30,1.8863500034501004,2.4634573786991525,1.8774190710611478
2021-07-31,1.8595684011692577,2.523741958187085,1.9137593282635756
2021-08-31,1.9144580081379523,2.598236235508742,1.9462033145210125
2021-09-30,1.8251742101642967,2.477063350988478,1.8838539431926655
2021-10-31,1.9536401543599797,2.651412890032541,1.963941700881396
2021-11-30,1.939293967591617,2.631942741225678,1.9568919984827287
2021-12-31,2.027730388001688,2.7519655942062036,2.0080065607174507
2022-01-31,1.9214602056547279,2.6077393759479355,1.9282793254160884
2022-02-28,1.8641909001751746,2.53001545406149,1.8850174194694875
2022-03-31,1.9348290675155893,2.6258831331715196,1.9071231377885514
2022-04-30,1.7648665544621047,2.3952158852002756,1.7762999021110868
2022-05-31,1.7694335991945127,2.401414120451449,1.7849537400031976
2022-06-30,1.6231991689370244,2.20294980629105,1.6845767106166065
2022-07-31,1.7725192442062747,2.405601851206262,1.793605994514127
2022-08-31,1.7229328455208544,2.306276079754113,1.7291013625757539
2022-09-30,1.6508620790506368,2.0941245856564326,1.6047351017265479
2022-10-31,1.6317496688708237,2.264117006275957,1.675463223826247
2022-11-30,1.691567998634989,2.3887565960706985,1.7553720814770597
2022-12-31,1.6779335789445828,2.2518222504033725,1.6893370772899738
2023-01-31,1.7335210390748634,2.3934666396521362,1.7754809020211795
2023-02-28,1.6873064968983786,2.3336682807028484,1.729932472338952
2023-03-31,1.7324538691858482,2.4202469122637496,1.7869557311812365
2023-04-30,1.7426392960822374,2.4587317498115415,1.8082069202167461
2023-05-31,1.7223596309252958,2.4705735064560086,1.8050150587190046
2023-06-30,1.8004501163380573,2.6314054583023343,1.873902582433364
2023-07-31,1.859686790390207,2.717981423955601,1.9100054511516162
2023-08-31,1.8294050578415835,2.6737238710291313,1.8862993562159518
2023-09-30,1.742619509657198,2.54688449729595,1.8139022581811108
2023-10-31,1.704766817801112,2.4915617871260456,1.7792300049287695
2023-11-30,1.8611014167984845,2.720048937861385,1.909448719135044
2023-12-31,1.952394399703528,2.8445890687943627,1.9890591138897462
2024-01-31,1.983772458396104,2.890306103616038,2.0069415270356528
2024-02-29,2.0870685028944234,3.0408058177487116,2.0587007180101162
2024-03-31,2.1555269836242026,3.1405480860013606,2.106215395342518
2024-04-30,2.069117895470891,3.0146522385011205,2.0352657796140883
2024-05-31,2.1731048838814075,3.166158640370701,2.110317903819724
2024-06-30,2.250622907461566,3.279100432533261,2.162918980036148
2024-07-31,2.2767232468883707,3.317127964386756,2.198336802324091
2024-08-31,2.3312190024240524,3.3965268965471997,2.2426732927634463
2024-09-30,2.381952920937672,3.4704449276800795,2.2837677980146434
2024-10-31,2.359382602557499,3.437560546863787,2.2483514293323292
2024-11-30,2.4983262296091806,3.639997883679479,2.3374026293554966
2024-12-31,2.4400251451653356,3.5550546839176884,2.2889583595676797
2025-01-31,2.5057798099339585,3.6508575609652083,2.331443718520086
2025-02-28,2.4740797142336195,3.6046713263997883,2.3338585733484134
2025-03-31,2.3353329970481354,3.4025208822595765,2.255442965903995
2025-04-30,2.3163834837486883,3.3749119225131414,2.2480358424857725
2025-05-31,2.4618904445892653,3.5869118700152685,2.3267011014664107
2025-06-30,2.5552037778923906,3.772452479171062,2.4130281294280156
2025-07-31,2.6136375110990944,3.858722890795404,2.443572901413995
2025-08-31,2.7219508459723003,3.9388170096391053,2.485285737641784
2025-09-30,2.8185659861773633,4.078624588527414,2.5492023005018813
2025-10-31,2.8860408110499525,4.176264481005207,2.5919663945612816
2025-11-30,2.892346567476833,4.185389267630061,2.601556946730221
2025-12-31,2.9664644032832475,4.188684329466814,2.5996621346074527
2026-01-31,3.1346288246964327,4.249397709944331,2.6245171845860424
2026-02-28,3.2995665185617082,4.214799560658425,2.6285104853644605
2026-03-31,3.033124823767625,4.003714224544892,2.5312594299372377
2026-04-30,3.2681818488812424,4.426028855784243,2.692976386615671
2026-05-31,3.392576328714392,4.659933130833727,2.781336654028988
2026-06-30,3.398320231901949,4.615176232900256,2.7683021006393678
2026-07-31,3.369104772614671,4.581443068106971,2.744871417307702
