ticker,signal,date,entry_price,fwd_1M,fwd_3M,fwd_6M,hit_1M,hit_3M,hit_6M
PG,golden_cross,2022-03-28,137.9266,6.79,-4.52,-15.02,True,False,False
PG,death_cross,2022-06-23,128.2628,2.04,-6.65,7.96,False,True,False
PG,golden_cross,2022-12-30,138.472,-5.61,1.07,-0.49,False,True,False
PG,death_cross,2023-12-28,136.5254,8.51,7.34,15.92,False,False,False
PG,golden_cross,2024-02-02,149.0401,0.94,5.09,7.14,True,True,True
PG,death_cross,2025-02-14,157.3544,3.49,2.19,-2.99,False,False,True
PG,golden_cross,2025-03-21,161.0252,0.04,-4.24,-6.61,True,False,False
PG,death_cross,2025-05-05,154.3887,2.5,-2.69,-5.18,False,True,True
PG,golden_cross,2026-03-10,154.844,-6.95,-3.38,,False,False,False
PG,death_cross,2026-05-04,143.42,-1.84,,,True,False,False
TSLA,golden_cross,2022-03-28,363.9467,-19.63,-37.56,-33.83,False,False,False
TSLA,death_cross,2022-05-26,235.91,-3.15,16.83,-22.66,True,False,True
TSLA,golden_cross,2023-06-23,256.6,3.02,-6.27,-3.19,True,False,False
TSLA,death_cross,2024-02-01,188.86,-4.3,-5.85,4.57,True,True,False
TSLA,golden_cross,2024-07-29,232.1,-11.35,10.97,61.28,False,True,True
TSLA,death_cross,2025-04-14,252.35,35.85,30.17,73.95,False,False,False
TSLA,golden_cross,2025-07-01,300.71,0.64,42.94,44.92,True,True,True
TSLA,death_cross,2025-08-05,308.72,13.64,44.44,35.1,False,False,False
TSLA,golden_cross,2025-09-16,421.62,1.69,14.65,-11.74,True,True,False
TSLA,death_cross,2026-04-09,345.62,28.75,,,False,False,False
UNH,golden_cross,2022-03-28,477.3949,2.19,1.18,3.39,True,True,True
UNH,death_cross,2023-02-06,446.4238,-2.17,3.21,6.77,True,False,False
UNH,golden_cross,2023-09-13,455.9755,12.41,11.06,2.88,True,True,True
UNH,death_cross,2024-03-21,470.6783,-1.12,-1.14,19.84,True,True,False
UNH,golden_cross,2024-07-26,547.6874,3.09,-0.98,-4.55,True,False,False
UNH,death_cross,2025-01-31,525.367,-12.26,-27.61,-51.23,True,True,True
UNH,golden_cross,2026-01-26,348.9273,-18.48,6.18,,False,True,False
UNH,death_cross,2026-02-27,291.0076,-7.02,29.55,,True,False,False
UNH,golden_cross,2026-05-14,399.09,,,,False,False,False
V,golden_cross,2022-12-23,200.4005,12.44,9.75,15.33,True,True,True
V,death_cross,2024-08-13,256.7425,10.46,18.72,34.98,False,False,False
V,golden_cross,2024-10-04,274.3107,5.53,10.93,19.64,True,True,True
V,death_cross,2025-10-28,344.787,-3.4,-4.99,-7.73,True,True,True
WMT,golden_cross,2022-04-13,49.7376,-5.39,-16.6,-12.29,False,False,False
WMT,death_cross,2022-06-15,37.9039,8.53,12.36,21.17,False,False,False
WMT,golden_cross,2022-11-15,47.0171,-2.82,-1.8,0.47,False,False,True
ADA-USD,golden_cross,2023-03-03,0.3427,2.7,6.74,4.35,True,True,True
ADA-USD,death_cross,2023-06-19,0.263,11.32,1.08,12.25,False,False,False
ADA-USD,golden_cross,2023-11-19,0.3845,43.3,23.87,67.57,True,True,True
ADA-USD,death_cross,2024-05-12,0.4377,4.43,-0.21,-18.07,False,True,True
ADA-USD,golden_cross,2024-11-17,0.7023,43.46,39.77,-4.04,True,True,False
ADA-USD,death_cross,2025-04-07,0.5854,18.94,13.39,64.3,False,False,False
ADA-USD,golden_cross,2025-08-13,0.9059,-10.6,-29.97,-59.95,False,False,False
ADA-USD,death_cross,2025-11-04,0.5215,-16.47,-25.08,-44.32,True,True,True
ATOM-USD,golden_cross,2021-12-31,32.4697,-10.22,-12.5,-70.1,False,False,False
ATOM-USD,death_cross,2022-03-04,30.5489,-5.66,-58.08,-70.62,True,True,True
ATOM-USD,golden_cross,2022-10-16,11.7121,21.82,-24.47,9.59,True,False,True
ATOM-USD,death_cross,2022-12-17,8.7979,19.78,57.61,33.2,False,False,False
ATOM-USD,golden_cross,2023-02-08,15.1461,-17.79,-18.17,-42.02,False,False,False
ATOM-USD,death_cross,2023-04-14,12.2623,-11.44,-29.93,-41.25,True,True,True
ATOM-USD,golden_cross,2023-12-05,9.894,20.94,1.27,-17.76,True,True,False
ATOM-USD,death_cross,2024-05-06,9.2047,-5.27,-35.47,-55.87,True,True,True
ATOM-USD,golden_cross,2024-12-04,9.9333,-34.75,-53.96,-59.94,False,False,False
ATOM-USD,death_cross,2025-02-24,4.3561,8.49,1.66,-6.35,False,False,True
ATOM-USD,golden_cross,2025-08-17,4.6262,-1.8,-32.66,-55.01,False,False,False
ATOM-USD,death_cross,2025-10-02,4.3118,-26.13,-49.47,-55.03,True,True,True
AVAX-USD,golden_cross,2021-12-31,109.2705,-45.34,-34.22,-72.22,False,False,False
AVAX-USD,death_cross,2022-03-05,76.7274,17.07,-41.92,-74.73,False,True,True
AVAX-USD,golden_cross,2023-02-19,19.8021,-16.67,-13.19,-34.38,False,False,False
AVAX-USD,death_cross,2023-06-06,14.6319,-15.56,-14.97,-35.6,True,True,True
AVAX-USD,golden_cross,2023-11-20,20.8616,79.42,46.11,159.38,True,True,True
AVAX-USD,death_cross,2024-05-25,38.2878,-21.54,-31.21,-31.46,True,True,True
AVAX-USD,golden_cross,2024-11-20,33.5857,58.16,9.04,-41.07,True,True,False
AVAX-USD,death_cross,2025-02-24,21.8809,-13.16,-1.08,-16.37,True,True,True
AVAX-USD,golden_cross,2025-08-14,23.67,3.42,-12.99,-48.86,True,False,False
AVAX-USD,death_cross,2025-11-12,16.8205,-14.4,-18.35,-42.86,True,True,True
BNB-USD,golden_cross,2021-12-31,511.7083,-30.02,-25.48,-47.35,False,False,False
BNB-USD,death_cross,2022-02-04,399.0296,-6.36,-1.24,-47.49,True,True,True
BNB-USD,golden_cross,2022-11-08,327.6903,-8.21,-10.36,1.6,False,False,True
BNB-USD,death_cross,2022-12-28,244.1419,20.77,18.58,28.0,False,False,False
BNB-USD,golden_cross,2023-02-10,305.9541,-5.38,11.13,-21.3,False,True,False
BNB-USD,death_cross,2023-06-16,239.1147,-1.18,-11.91,-6.64,True,True,True
BNB-USD,golden_cross,2023-12-10,239.7332,31.15,39.42,138.17,True,True,True
BNB-USD,death_cross,2024-08-30,535.3158,10.04,3.13,27.98,False,False,False
BNB-USD,golden_cross,2024-10-27,588.7158,5.22,20.01,0.74,True,True,True
BNB-USD,death_cross,2025-03-15,619.4861,-10.48,4.98,26.82,True,False,False
BNB-USD,golden_cross,2025-06-15,648.2808,1.96,34.06,72.26,True,True,True
BNB-USD,death_cross,2025-12-29,851.1876,3.93,-23.92,-22.03,False,True,True
BTC-USD,golden_cross,2021-12-31,46306.4453,-24.35,-17.8,-37.27,False,False,False
BTC-USD,death_cross,2022-01-14,43099.6992,-3.85,-4.69,-32.09,True,True,True
BTC-USD,golden_cross,2023-02-07,23264.291,1.64,31.04,15.42,True,True,True
BTC-USD,death_cross,2023-09-12,25833.3438,7.61,41.66,52.93,False,False,False
BTC-USD,golden_cross,2023-10-30,34502.3633,3.8,28.05,100.04,True,True,True
BTC-USD,death_cross,2024-08-10,60945.8125,-5.94,10.0,60.4,True,False,False
BTC-USD,golden_cross,2024-10-28,69907.7578,32.09,38.59,15.3,True,True,True
