ticker,per,forward_per,pbr,dividend_yield_pct,market_cap,roe_pct,profit_margin_pct,revenue_growth_yoy_pct,earnings_growth_yoy_pct,eps_growth_q_pct,consensus_target,analyst_count,recommendation_mean,sector,industry,currency
015760.KS,2.61,2.4879313,0.45,4.33,22725529698304.0,18.671,8.923,0.7000000000000001,7.1,7.1,54114.285,21.0,2.04762,Utilities,Utilities - Regulated Electric,KRW
066570.KS,31.22,10.396716,1.19,0.8,30388187561984.0,4.777,1.084,4.3,-7.6,2.1,213692.31,26.0,1.76923,Technology,Consumer Electronics,KRW
003670.KS,,125.9968,3.04,0.16,12594779783168.0,-0.153,-0.496,-10.4,,-94.6,196111.11,27.0,3.22222,Industrials,Electrical Equipment & Parts,KRW
247540.KQ,185.13,109.904564,5.93,0.09,10594402959360.0,5.6209996,2.283,-3.9,,,185270.83,24.0,2.95833,Industrials,Electrical Equipment & Parts,KRW
069500.KS,,,,,,,,,,,,,,,,KRW
091160.KS,,,,,,,,,,,,,,,,KRW
130730.KS,,,,,,,,,,,,,,,,KRW
305080.KS,,,,,,,,,,,,,,,,KRW
429000.KS,,,,,,,,,,,,,,,,KRW
360200.KS,,,,,,,,,,,,,,,,KRW
360750.KS,,,,,,,,,,,,,,,,KRW
379800.KS,,,,,,,,,,,,,,,,KRW
381180.KS,,,,,,,,,,,,,,,,KRW
448290.KS,,,,,,,,,,,,,,,,KRW
466950.KS,,,,,,,,,,,,,,,,KRW
476760.KS,,,,,,,,,,,,,,,,KRW
0072R0.KS,,,,,,,,,,,,,,,,KRW
^VIX,,,,,,,,,,,,,,,,USD
VOO,26.61013,,1.7375798,1.07,,,,,,,,,,,,USD
VTI,25.9847,,2.6149414,1.05,,,,,,,,,,,,USD
QQQ,30.362904,,1.9124643,0.41,,,,,,,,,,,,USD
SPY,26.579433,,1.7215647,1.01,,,,,,,,,,,,USD
VT,22.18067,,,1.58,,,,,,,,,,,,USD
VTV,21.620956,,2.9166393,1.88,,,,,,,,,,,,USD
VEU,17.891815,,1.3202634,2.53,,,,,,,,,,,,USD
SCHD,19.199461,,,3.3,,,,,,,,,,,,USD
BND,,,,3.95,,,,,,,,,,,,USD
SHY,3720.4546,,0.94907355,3.68,,,,,,,,,,,,USD
TLT,,-4162.5,0.5592315,4.53,,,,,,,,,,,,USD
GLD,,,2.1874282,0.0,,,,,,,,,,,,USD
AIQ,25.599846,,,0.07,,,,,,,,,,,,USD
IRBO,28.816973,,,0.58,,,,,,,,,,,,USD
SMH,36.329536,,,0.17,,,,,,,,,,,,USD
SOXX,37.255997,,1.2426785,0.23,,,,,,,,,,,,USD
ITA,38.00561,,,0.44,,,,,,,,,,,,USD
XAR,37.028645,,,0.28,,,,,,,,,,,,USD
PAVE,31.183622,,,0.73,,,,,,,,,,,,USD
COPX,17.374304,,,2.51,,,,,,,,,,,,USD
URA,33.933495,,,4.79,,,,,,,,,,,,USD
URNM,10.137133,,,3.32,,,,,,,,,,,,USD
XLV,29.253325,,1.2775037,1.6,,,,,,,,,,,,USD
XLU,21.37069,,0.7233943,2.64,,,,,,,,,,,,USD
VPU,21.21709,,1.9234887,2.64,,,,,,,,,,,,USD
INDA,21.72924,,,0.0,,,,,,,,,,,,USD
DXJ,17.201084,,,0.97,,,,,,,,,,,,USD
