,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2025-07-09,251359.609375,255812.83080093504,248390.7950910433,255812.83080093504,952460,247866.3078125,212373.1434375,197512.811796875,0.2636815572576745,58.61200449417,12829.063906660536,15583.25243378284,-2754.1885271223036,300205.1574071551,247866.3078125,195527.4582178449,0.5333719750200313,42244590,bull,golden_cross
2025-07-10,256802.4375,262245.2637283237,248390.79696531792,252844.0184248555,1754234,250864.81015625,213719.0059375,198022.79140625,0.3046757024317883,61.27456037078487,12308.16258475362,14928.234463976996,-2620.0718792233765,297752.6535032017,250864.81015625,203976.9668092983,0.5633173432590391,43998824,bull,golden_cross
2025-07-11,250370.0,258781.64031620554,250370.0,258286.83794466403,1249355,253462.52265625,214896.635625,198511.441328125,0.26184539281785857,56.63728977411021,11246.656135000288,14191.918798181654,-2945.2626631813655,293728.45860664145,253462.52265625,213196.58670585853,0.461598773463753,42749469,bull,golden_cross
2025-07-14,246411.59375,249875.2105296185,241463.5697791165,249380.40813253014,1205192,255416.9921875,215955.5128125,198960.60375,0.18854415993945417,53.93232953183701,9971.054216988414,13347.745881943007,-3376.691664954593,289916.60226885777,255416.9921875,220917.38210614223,0.36948550409318737,41544277,bull,golden_cross
2025-07-15,246906.390625,250370.0073271543,244432.37869488978,244927.1810809118,791762,257544.6421875,217004.49375,199425.0421875,0.20823241478819976,54.22661089560014,8897.491733167291,12457.695052187864,-3560.203319020573,283334.2390156806,257544.6421875,231755.04535931937,0.29374916883393387,42336039,bull,golden_cross
2025-07-16,247401.1875,252844.01362500002,246411.58275,248390.79225,785410,257866.26328125,217984.2025,199874.22875,0.026694006828296812,54.53935332182908,7994.456583641702,11565.047358478632,-3570.59077483693,282972.3490352012,257866.26328125,232760.1775272988,0.2915828878342176,43121449,bull,golden_cross
2025-07-17,240968.765625,252349.22067505133,239979.160838039,251359.61588809034,1262077,257445.68125,218896.618125,200290.76078125,-0.033730158481526606,49.777869709149044,6682.717823088722,10588.58145140065,-3905.8636283119286,283374.6441371334,257445.68125,231516.7183628666,0.18226813203592762,41859372,bull,golden_cross
2025-07-18,239484.359375,242453.17374741734,237505.14979338844,240968.76656120867,703602,256084.97421875,219745.6990625,200697.408828125,-0.1020408462177328,48.720785634594236,5460.43176769148,9562.951514658816,-4102.519746967337,282773.996449588,256084.97421875,229395.951987912,0.18899919412242994,41155770,bull,golden_cross
2025-07-21,237505.140625,242947.96676432292,237505.140625,238989.54775390626,674282,253610.9625,220761.0334375,201097.607421875,-0.17241378371633054,47.27910786390661,4282.686704144435,8506.89855255594,-4224.211848411505,277399.5324714384,253610.9625,229822.3925285616,0.16147982215119766,40481488,bull,golden_cross
2025-07-22,232557.125,239484.3585106383,232062.32260638298,238989.55611702127,930384,250864.809375,221631.885625,201439.583671875,-0.19104990496084184,43.79047308855382,2916.4329241101805,7388.805426866788,-4472.372502756608,270738.37391731044,250864.809375,230991.24483268958,0.039396057108343326,39551104,bull,golden_cross
2025-07-23,229093.5,235031.12850971922,227114.29049676025,233546.7213822894,719824,248291.8375,222449.2990625,201757.84078125,-0.18342148885894305,41.482978704088026,1536.4699007316958,6218.33832163977,-4681.868420908074,265232.8770963859,248291.8375,231350.79790361406,-0.06662217778227773,38831280,bull,golden_cross
2025-07-24,224640.28125,232062.31697411893,222661.07172356828,230577.90982929515,1177878,246609.509375,223217.2321875,202062.6946875,-0.1302682010879619,38.6621612015804,82.55013995675836,4991.180685303168,-4908.630545346409,265781.8097989846,246609.509375,227437.20895101535,-0.07294189114406888,37653402,bull,golden_cross
2025-07-25,232062.3125,233546.7196162047,222661.06743070364,224145.4745469083,1202489,245471.46328125,224074.2296875,202381.516640625,-0.08932043395032352,45.33414022337133,-465.4306571171619,3899.858416819102,-4365.289073936264,265250.9384919424,245471.46328125,225691.98807055756,0.16103370695089914,38855891,bull,golden_cross
2025-07-28,233051.921875,234536.32902070062,229588.3052016985,233546.7242569002,600063,244135.496875,224990.60375,202707.748515625,-0.1028571411385979,46.17483295813982,-810.5130903560494,2957.784115384072,-3768.297205740121,263475.62708045216,244135.496875,224795.36666954786,0.21345655685204604,39455954,bull,golden_cross
2025-07-29,230577.90625,237505.13948497854,229588.3015021459,233051.9181196352,928345,242700.56953125,225885.20625,203026.53421875,-0.11068705441278204,44.33901151333104,-1268.997575482208,2112.4277772108157,-3381.425352693024,261587.5097788022,242700.56953125,223813.62928369778,0.1790728640436845,38527609,bull,golden_cross
2025-07-30,231567.515625,237505.14423076925,231072.7132411859,231072.7132411859,768748,241809.925,226847.1021875,203356.1765625,-0.0714285893300809,45.27624339691541,-1534.804357840534,1382.9813502005459,-2917.78570804108,261029.92643934654,241809.925,222589.92356065343,0.233548163164232,39296357,bull,golden_cross
2025-07-31,232557.125,234041.53218085106,230083.1130319149,232557.125,521064,240919.28125,227836.7071875,203678.457265625,-0.07114620361864443,46.25090086025203,-1646.6236889435677,777.0603423717232,-2423.6840313152907,260120.93104728826,240919.28125,221717.63145271174,0.2822542245515555,39817421,bull,golden_cross
