Date,sma111,sma350x2
2022-08-20,25310.64574535473,80737.20983258929
2022-08-21,25157.535772100226,80564.52818080357
2022-08-22,25010.224556587837,80386.04459821428
2022-08-23,24846.52831151464,80241.570078125
2022-08-24,24709.7704638232,80100.44795758929
2022-08-25,24579.68021537162,79958.78785714286
2022-08-26,24442.36549831081,79818.07991071428
2022-08-27,24316.081468186938,79674.31008928572
2022-08-28,24219.86400267455,79523.18748883929
2022-08-29,24123.24317286036,79382.24417410714
2022-08-30,24040.904912725226,79226.26883928571
2022-08-31,23959.841955236487,79065.54550223214
2022-09-01,23877.355803068695,78907.50996651786
2022-09-02,23786.08108108108,78751.52283482143
2022-09-03,23682.72049197635,78588.97268973214
2022-09-04,23593.745671452703,78433.12408482142
2022-09-05,23498.128677505632,78301.51591517858
2022-09-06,23409.096213400902,78176.62444196429
2022-09-07,23309.780810106982,78037.85767857142
2022-09-08,23220.85372677365,77891.77045758929
2022-09-09,23148.32152660473,77769.14989955357
2022-09-10,23070.455007742115,77648.94387276786
2022-09-11,23004.42208614865,77526.43368303572
2022-09-12,22938.790223817567,77412.91779017857
2022-09-13,22855.31586078266,77294.41587053571
2022-09-14,22773.99933136261,77172.56859375
2022-09-15,22693.581644144146,77034.91325892857
2022-09-16,22612.11933417793,76872.94550223215
2022-09-17,22528.169957066442,76715.32314732143
2022-09-18,22417.29712134009,76550.86344866072
2022-09-19,22306.95314259572,76381.89902901786
2022-09-20,22208.680250563062,76195.47603794643
2022-09-21,22101.292071368243,75985.11004464286
2022-09-22,22008.581802505632,75788.58185267857
2022-09-23,21913.669411599098,75590.46637276786
2022-09-24,21814.84373240428,75384.57373883929
2022-09-25,21701.613334037163,75179.03385044643
2022-09-26,21594.11057150901,74960.39318080357
2022-09-27,21494.076259853602,74749.36168526785
2022-09-28,21397.8125,74532.36524553571
2022-09-29,21312.130032376128,74316.6596875
2022-09-30,21231.688397381757,74075.73305803571
2022-10-01,21164.566300675677,73838.132578125
2022-10-02,21133.545748873872,73595.22109375
2022-10-03,21110.273560670044,73352.92110491071
2022-10-04,21090.12945171734,73101.92025669642
2022-10-05,21088.139058980854,72840.02243303572
2022-10-06,21083.490058417792,72598.56684151785
2022-10-07,21088.257689329956,72363.45017857142
2022-10-08,21078.01712063626,72123.581328125
2022-10-09,21067.628730292792,71886.52755580356
2022-10-10,21053.492574605854,71635.67989955356
2022-10-11,21045.063643721845,71399.60918526785
2022-10-12,21027.6903856982,71174.895234375
2022-10-13,21011.03496269707,70939.24247767858
2022-10-14,20990.163956925677,70693.28642857143
2022-10-15,20972.509360923425,70448.59387276786
2022-10-16,20959.289678350226,70208.30322544643
2022-10-17,20952.714210304053,69971.425234375
