date,value
2023-07-30,0.6269
2023-07-31,0.6221
2023-08-01,0.6414
2023-08-02,0.6169
2023-08-03,0.6203
2023-08-04,0.6107
2023-08-05,0.6103
2023-08-06,0.6098
2023-08-07,0.6179
2023-08-08,0.6607
2023-08-09,0.6466
2023-08-10,0.6358
2023-08-11,0.6334
2023-08-12,0.6342
2023-08-13,0.625
2023-08-14,0.6333
2023-08-15,0.6163
2023-08-16,0.5875
2023-08-17,0.4419
2023-08-18,0.3993
2023-08-19,0.4034
2023-08-20,0.4042
2023-08-21,0.4051
2023-08-22,0.406
2023-08-23,0.4068
2023-08-24,0.4077
2023-08-25,0.4022
2023-08-26,0.3999
2023-08-27,0.4053
2023-08-28,0.4068
2023-08-29,0.5169
2023-08-30,0.4908
2023-08-31,0.3972
2023-09-01,0.387
2023-09-02,0.3916
2023-09-03,0.3984
2023-09-04,0.3871
2023-09-05,0.3863
2023-09-06,0.3846
2023-09-07,0.4166
2023-09-08,0.3953
2023-09-09,0.3948
2023-09-10,0.3904
2023-09-11,0.3422
2023-09-12,0.3931
2023-09-13,0.4188
2023-09-14,0.4414
2023-09-15,0.4493
2023-09-16,0.4411
2023-09-17,0.4373
2023-09-18,0.4553
2023-09-19,0.4857
2023-09-20,0.4801
2023-09-21,0.4409
2023-09-22,0.4416
2023-09-23,0.4412
2023-09-24,0.421
2023-09-25,0.4212
2023-09-26,0.4147
2023-09-27,0.4247
2023-09-28,0.4733
2023-09-29,0.4645
2023-09-30,0.469
2023-10-01,0.5368
2023-10-02,0.5099
2023-10-03,0.5008
2023-10-04,0.5253
2023-10-05,0.4995
2023-10-06,0.535
2023-10-07,0.5367
2023-10-08,0.5341
2023-10-09,0.5094
2023-10-10,0.4974
2023-10-11,0.4561
2023-10-12,0.4502
2023-10-13,0.4574
2023-10-14,0.4581
2023-10-15,0.4768
2023-10-16,0.5723
2023-10-17,0.5669
2023-10-18,0.5592
2023-10-19,0.5848
2023-10-20,0.6547
2023-10-21,0.6695
2023-10-22,0.6735
2023-10-23,0.8778
2023-10-24,0.9387
2023-10-25,0.979
2023-10-26,0.9548
2023-10-27,0.9338
2023-10-28,0.9465
2023-10-29,0.9794
2023-10-30,0.9724
2023-10-31,0.9808
2023-11-01,1.0336
2023-11-02,0.9938
2023-11-03,0.9801
2023-11-04,1.0061
2023-11-05,1.0064
2023-11-06,0.9992
2023-11-07,1.0256
2023-11-08,1.0506
2023-11-09,1.1079
2023-11-10,1.1539
2023-11-11,1.126
2023-11-12,1.1303
2023-11-13,1.0938
2023-11-14,1.027
2023-11-15,1.1812
2023-11-16,1.0633
2023-11-17,1.0908
2023-11-18,1.0907
2023-11-19,1.15
2023-11-20,1.1533
2023-11-21,1.0487
2023-11-22,1.1419
2023-11-23,1.1346
2023-11-24,1.1617
2023-11-25,1.1666
2023-11-26,1.1437
2023-11-27,1.1254
2023-11-28,1.1656
2023-11-29,1.1648
2023-11-30,1.155
2023-12-01,1.2212
2023-12-02,1.2725
2023-12-03,1.3069
2023-12-04,1.4355
2023-12-05,1.5806
2023-12-06,1.5532
2023-12-07,1.5182
2023-12-08,1.5787
2023-12-09,1.5449
2023-12-10,1.5429
2023-12-11,1.367
2023-12-12,1.3812
2023-12-13,1.4807
2023-12-14,1.4853
2023-12-15,1.4099
2023-12-16,1.4238
2023-12-17,1.3696
2023-12-18,1.4499
2023-12-19,1.4228
2023-12-20,1.5116
2023-12-21,1.5278
2023-12-22,1.5348
2023-12-23,1.5166
2023-12-24,1.4682
2023-12-25,1.5031
2023-12-26,1.4226
2023-12-27,1.4822
2023-12-28,1.4279
2023-12-29,1.3795
2023-12-30,1.3922
2023-12-31,1.3918
2024-01-01,1.5158
2024-01-02,1.5736
2024-01-03,1.4229
2024-01-04,1.5104
2024-01-05,1.5005
2024-01-06,1.4835
2024-01-07,1.4773
2024-01-08,1.6882
2024-01-09,1.6231
2024-01-10,1.6699
2024-01-11,1.6367
2024-01-12,1.3938
2024-01-13,1.395
2024-01-14,1.3289
2024-01-15,1.3715
2024-01-16,1.4073
2024-01-17,1.3732
2024-01-18,1.2728
2024-01-19,1.2947
2024-01-20,1.2983
2024-01-21,1.2887
2024-01-22,1.1555
2024-01-23,1.1652
2024-01-24,1.1866
2024-01-25,1.1726
2024-01-26,1.3027
2024-01-27,1.3196
2024-01-28,1.3092
2024-01-29,1.391
2024-01-30,1.369
2024-01-31,1.3417
2024-02-01,1.3696
2024-02-02,1.3774
2024-02-03,1.3649
2024-02-04,1.3366
2024-02-05,1.3382
2024-02-06,1.3683
2024-02-07,1.4439
2024-02-08,1.5142
2024-02-09,1.6355
2024-02-10,1.6748
2024-02-11,1.7002
2024-02-12,1.8158
2024-02-13,1.788
2024-02-14,1.9273
2024-02-15,1.9297
2024-02-16,1.9405
2024-02-17,1.9056
2024-02-18,1.9347
2024-02-19,1.9055
2024-02-20,1.9361
2024-02-21,1.8947
2024-02-22,1.8604
2024-02-23,1.8227
2024-02-24,1.8733
2024-02-25,1.8825
2024-02-26,2.064
2024-02-27,2.2208
2024-02-28,2.5545
2024-02-29,2.4735
2024-03-01,2.5348
2024-03-02,2.499
2024-03-03,2.5564
2024-03-04,2.879
2024-03-05,2.5894
2024-03-06,2.7037
2024-03-07,2.7516
2024-03-08,2.8215
2024-03-09,2.8247
2024-03-10,2.8421
2024-03-11,3.0402
2024-03-12,2.9767
2024-03-13,3.0497
2024-03-14,2.9348
2024-03-15,2.7909
2024-03-16,2.5262
2024-03-17,2.7037
2024-03-18,2.6639
2024-03-19,2.286
2024-03-20,2.6601
2024-03-21,2.4989
2024-03-22,2.3649
2024-03-23,2.4009
2024-03-24,2.5853
2024-03-25,2.7404
2024-03-26,2.7363
2024-03-27,2.6784
2024-03-28,2.7673
2024-03-29,2.7031
2024-03-30,2.682
2024-03-31,2.7769
2024-04-01,2.6711
2024-04-02,2.3906
2024-04-03,2.4234
2024-04-04,2.5656
2024-04-05,2.5273
2024-04-06,2.6003
2024-04-07,2.6122
2024-04-08,2.7519
2024-04-09,2.5798
2024-04-10,2.6694
2024-04-11,2.6307
2024-04-12,2.4408
2024-04-13,2.2779
2024-04-14,2.3435
2024-04-15,2.1992
2024-04-16,2.2194
2024-04-17,2.0634
2024-04-18,2.1963
2024-04-19,2.2076
2024-04-20,2.2766
2024-04-21,2.2774
2024-04-22,2.3963
2024-04-23,2.3577
2024-04-24,2.2105
2024-04-25,2.2277
2024-04-26,2.1792
2024-04-27,2.1546
2024-04-28,2.123
2024-04-29,2.1772
2024-04-30,1.972
2024-05-01,1.8175
2024-05-02,1.88
2024-05-03,2.1125
2024-05-04,2.1652
2024-05-05,2.1743
2024-05-06,2.1193
2024-05-07,2.0659
2024-05-08,1.9819
2024-05-09,2.0971
2024-05-10,1.9662
2024-05-11,1.9608
2024-05-12,1.9944
2024-05-13,2.0806
2024-05-14,1.9964
2024-05-15,2.2773
2024-05-16,2.2114
2024-05-17,2.3098
2024-05-18,2.308
2024-05-19,2.2611
2024-05-20,2.5551
2024-05-21,2.4885
2024-05-22,2.4141
2024-05-23,2.3298
2024-05-24,2.3771
2024-05-25,2.4145
2024-05-26,2.36
2024-05-27,2.4096
2024-05-28,2.3156
2024-05-29,2.2665
2024-05-30,2.3107
2024-05-31,2.2474
2024-06-01,2.2647
2024-06-02,2.2671
2024-06-03,2.3231
2024-06-04,2.4207
2024-06-05,2.447
2024-06-06,2.4214
2024-06-07,2.3303
2024-06-08,2.3253
2024-06-09,2.342
2024-06-10,2.3277
2024-06-11,2.1967
2024-06-12,2.2431
2024-06-13,2.1556
2024-06-14,2.1055
2024-06-15,2.1159
2024-06-16,2.1382
2024-06-17,2.1271
2024-06-18,2.0441
2024-06-19,2.0277
2024-06-20,2.0268
2024-06-21,1.976
2024-06-22,1.9792
2024-06-23,1.9239
2024-06-24,1.7426
2024-06-25,1.828
2024-06-26,1.7713
2024-06-27,1.812
2024-06-28,1.7365
2024-06-29,1.7693
2024-06-30,1.877
2024-07-01,1.8785
2024-07-02,1.8301
2024-07-03,1.7214
2024-07-04,1.5583
2024-07-05,1.5145
2024-07-06,1.603
2024-07-07,1.477
2024-07-08,1.5113
2024-07-09,1.5842
2024-07-10,1.5674
2024-07-11,1.5426
2024-07-12,1.5732
2024-07-13,1.6567
2024-07-14,1.7527
2024-07-15,1.9633
2024-07-16,1.9804
2024-07-17,1.9251
2024-07-18,1.9093
2024-07-19,2.0631
2024-07-20,2.0852
2024-07-21,2.1325
2024-07-22,2.0989
2024-07-23,1.9987
2024-07-24,1.9642
2024-07-25,1.9823
2024-07-26,2.1039
2024-07-27,2.11
2024-07-28,2.1128
2024-07-29,2.0347
2024-07-30,1.9931
2024-07-31,1.906
2024-08-01,1.9305
2024-08-02,1.7207
2024-08-03,1.6726
2024-08-04,1.5362
2024-08-05,1.3136
2024-08-06,1.4113
2024-08-07,1.3585
2024-08-08,1.7407
2024-08-09,1.6707
2024-08-10,1.6758
2024-08-11,1.5595
2024-08-12,1.59
2024-08-13,1.6538
2024-08-14,1.5576
2024-08-15,1.4892
2024-08-16,1.561
2024-08-17,1.5876
2024-08-18,1.5513
2024-08-19,1.5851
2024-08-20,1.5681
2024-08-21,1.6797
2024-08-22,1.6364
2024-08-23,1.842
2024-08-24,1.8349
2024-08-25,1.8598
2024-08-26,1.7727
2024-08-27,1.581
2024-08-28,1.5531
2024-08-29,1.5656
2024-08-30,1.5536
2024-08-31,1.542
2024-09-01,1.4511
2024-09-02,1.5516
2024-09-03,1.4663
2024-09-04,1.4873
2024-09-05,1.38
2024-09-06,1.2531
2024-09-07,1.2655
2024-09-08,1.3094
2024-09-09,1.4344
2024-09-10,1.4633
2024-09-11,1.4483
2024-09-12,1.4869
2024-09-13,1.6177
2024-09-14,1.5869
2024-09-15,1.537
2024-09-16,1.4856
2024-09-17,1.5955
2024-09-18,1.6523
2024-09-19,1.7429
2024-09-20,1.7478
2024-09-21,1.7579
2024-09-22,1.7675
2024-09-23,1.7511
2024-09-24,1.8043
2024-09-25,1.7302
2024-09-26,1.8373
2024-09-27,1.8734
2024-09-28,1.871
2024-09-29,1.8607
2024-09-30,1.7294
2024-10-01,1.5966
2024-10-02,1.5864
2024-10-03,1.59
2024-10-04,1.6587
2024-10-05,1.6562
2024-10-06,1.6963
2024-10-07,1.6742
2024-10-08,1.6421
2024-10-09,1.5585
2024-10-10,1.5367
2024-10-11,1.6529
2024-10-12,1.6917
2024-10-13,1.6657
2024-10-14,1.8443
2024-10-15,1.8845
2024-10-16,1.9206
2024-10-17,1.8996
2024-10-18,1.9536
2024-10-19,1.949
2024-10-20,1.9789
2024-10-21,1.8872
2024-10-22,1.8836
2024-10-23,1.8391
2024-10-24,1.9168
2024-10-25,1.8132
2024-10-26,1.8527
2024-10-27,1.9035
2024-10-28,2.0003
2024-10-29,2.1454
2024-10-30,2.1287
2024-10-31,2.0133
2024-11-01,1.9624
2024-11-02,1.947
2024-11-03,1.9183
2024-11-04,1.8634
2024-11-05,1.9551
2024-11-06,2.2738
2024-11-07,2.282
2024-11-08,2.304
2024-11-09,2.316
2024-11-10,2.5017
2024-11-11,2.9345
2024-11-12,2.8754
2024-11-13,2.9819
2024-11-14,2.7983
2024-11-15,2.9934
2024-11-16,2.9558
2024-11-17,2.9055
2024-11-18,2.9408
2024-11-19,3.0114
2024-11-20,3.0961
2024-11-21,3.2923
2024-11-22,3.2932
2024-11-23,3.2153
2024-11-24,3.2198
2024-11-25,2.9676
2024-11-26,2.8814
2024-11-27,3.0842
2024-11-28,3.0613
2024-11-29,3.1366
2024-11-30,3.0813
2024-12-01,3.1258
2024-12-02,3.0247
2024-12-03,3.0279
2024-12-04,3.1638
2024-12-05,3.0403
2024-12-06,3.1726
2024-12-07,3.166
2024-12-08,3.2001
2024-12-09,3.0066
2024-12-10,2.9659
2024-12-11,3.1791
2024-12-12,3.1086
2024-12-13,3.1586
2024-12-14,3.1548
2024-12-15,3.3056
2024-12-16,3.3543
2024-12-17,3.35
2024-12-18,3.0559
2024-12-19,2.9001
2024-12-20,2.8847
2024-12-21,2.8532
2024-12-22,2.7452
2024-12-23,2.7127
2024-12-24,2.8919
2024-12-25,2.9157
2024-12-26,2.7307
2024-12-27,2.6539
2024-12-28,2.6937
2024-12-29,2.6055
2024-12-30,2.55
2024-12-31,2.585
2025-01-01,2.6306
2025-01-02,2.7414
2025-01-03,2.7974
2025-01-04,2.7973
2025-01-05,2.8012
2025-01-06,2.9761
2025-01-07,2.7144
2025-01-08,2.6153
2025-01-09,2.4812
2025-01-10,2.5932
2025-01-11,2.5816
2025-01-12,2.5652
2025-01-13,2.5618
2025-01-14,2.6618
2025-01-15,2.8271
2025-01-16,2.8084
2025-01-17,3.0061
2025-01-18,3.003
2025-01-19,2.8319
2025-01-20,2.9018
2025-01-21,3.0535
2025-01-22,2.9375
2025-01-23,2.9409
2025-01-24,2.959
2025-01-25,2.9599
2025-01-26,2.8582
2025-01-27,2.8074
2025-01-28,2.7651
2025-01-29,2.8901
2025-01-30,2.9328
2025-01-31,2.7991
2025-02-01,2.7169
2025-02-02,2.5638
2025-02-03,2.7512
2025-02-04,2.5696
2025-02-05,2.5024
2025-02-06,2.4958
2025-02-07,2.4846
2025-02-08,2.4908
2025-02-09,2.4708
2025-02-10,2.516
2025-02-11,2.4385
2025-02-12,2.5243
2025-02-13,2.4642
2025-02-14,2.5005
2025-02-15,2.5041
2025-02-16,2.4364
2025-02-17,2.4151
2025-02-18,2.3955
2025-02-19,2.4469
2025-02-20,2.5223
2025-02-21,2.4115
2025-02-22,2.4328
2025-02-23,2.406
2025-02-24,2.2108
2025-02-25,2.0675
2025-02-26,1.8503
2025-02-27,1.8772
2025-02-28,1.8587
2025-03-01,1.9298
2025-03-02,2.3097
2025-03-03,1.9457
2025-03-04,1.9892
2025-03-05,2.1342
2025-03-06,2.1124
2025-03-07,1.9453
2025-03-08,1.9262
2025-03-09,1.6765
2025-03-10,1.6022
2025-03-11,1.7679
2025-03-12,1.8048
2025-03-13,1.6906
2025-03-14,1.8227
2025-03-15,1.8321
2025-03-16,1.7472
2025-03-17,1.814
2025-03-18,1.7528
2025-03-19,1.9328
2025-03-20,1.8122
2025-03-21,1.8079
2025-03-22,1.7953
2025-03-23,1.8799
2025-03-24,1.9466
2025-03-25,1.9489
2025-03-26,1.9205
2025-03-27,1.9351
2025-03-28,1.8027
2025-03-29,1.7214
2025-03-30,1.7081
2025-03-31,1.718
2025-04-01,1.8388
2025-04-02,1.7186
2025-04-03,1.7312
2025-04-04,1.7664
2025-04-05,1.7441
2025-04-06,1.5075
2025-04-07,1.5705
2025-04-08,1.4356
2025-04-09,1.7128
2025-04-10,1.5722
2025-04-11,1.7373
2025-04-12,1.8191
2025-04-13,1.7425
