Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,state,signal
2021-08-03,66951.515625,66951.515625,65703.00251311189,66171.19493006993,1193061,67567.96796875,68363.8940625,,-0.032694361996368215,45.860387742105026,bear,hold
2021-08-04,67887.890625,67965.92268318965,66795.44181034483,67263.63415948275,1659929,67536.7546875,68452.85046875,,-0.009111749785279843,51.16864388299826,bear,hold
2021-08-05,66873.484375,67653.80507949242,66873.484375,67419.70886814469,1417727,67489.935546875,68529.321875,,-0.013808946268996869,45.916329827802386,bear,hold
2021-08-06,66795.453125,67341.67762485397,66717.42105359229,67263.64555344626,829198,67474.329296875,68543.3675,,-0.004651114057768746,45.52918100027432,bear,hold
2021-08-09,67263.640625,67497.73682207077,66249.22377102669,66561.35203378771,1311698,67415.80546875,68552.73125,,-0.017103699303858244,48.34348998106911,bear,hold
2021-08-10,65702.9921875,67029.53716040678,65546.92807304038,67029.53716040678,1677784,67271.445703125,68529.32140625,,-0.04209341624120799,40.77995875204018,bear,hold
2021-08-11,64844.640625,65624.9612101384,64766.60856648617,65546.92915162456,1602497,67095.8734375,68479.38078125,,-0.051369900197483775,37.32144243603015,bear,hold
2021-08-12,67575.765625,68512.15036807158,65078.73964347575,65156.77170539838,4782831,67033.447265625,68473.13828125,,-0.018140738604160545,51.434773377267206,bear,hold
2021-08-13,66483.3125,67575.76129694836,65937.08810152582,67107.56895539907,1456961,66959.316015625,68413.83359375,,-0.02181423599137433,46.88690377889195,bear,hold
2021-08-17,64922.67578125,67107.57352388822,64922.67578125,66171.18877704327,1641836,66857.8740234375,68307.709765625,,-0.030303120471740663,41.27259104989315,bear,hold
2021-08-18,64922.67578125,65702.9964036208,64376.451345590445,64766.611656775836,1208550,66705.7109375,68178.17640625,,-0.044776278098863864,41.27259104989316,bear,hold
2021-08-19,62737.77734375,65078.7391849347,62737.77734375,64454.482693952115,2117356,66444.3029296875,68023.672734375,,-0.0769232405019058,34.554466675349104,bear,hold
2021-08-20,61957.4609375,63362.038137594456,61333.204404124685,62815.81367089106,2503057,66132.1748046875,67870.729921875,,-0.09153314303067395,32.518630972080615,bear,hold
2021-08-23,62425.65234375,63362.03712890625,62035.492016601565,62737.78060546875,1312205,65882.472265625,67717.7871875,,-0.07407405476097606,34.99339283734638,bear,hold
2021-08-24,63362.03515625,63986.291660252464,62971.874841248464,63362.03515625,1223611,65699.0966796875,67603.860234375,,-0.05471485172933299,39.75227409191717,bear,hold
2021-08-25,63674.15625,64610.540900735294,63362.02803308823,63830.22035845588,772206,65511.8193359375,67497.736484375,,-0.05555567143414353,41.294958664873725,bear,hold
2021-08-26,63986.29296875,64688.58155011433,63674.164710365854,63908.26090415396,923346,65351.85390625,67386.93078125,,-0.04761896179159486,42.87040652744272,bear,hold
2021-08-27,64064.328125,64220.39226172351,63440.07157810597,63674.16778319123,738873,65187.98671875,67301.095625,,-0.0486673950727482,43.280226623813654,bear,hold
2021-08-30,64454.48828125,65078.744826346854,64142.36000870157,64922.68069007264,921858,65148.9705078125,67209.017734375,,-0.011961776064735363,45.38955936450395,bear,hold
2021-08-31,66405.2890625,66405.2890625,63986.29498384254,64454.48738616334,2185162,65164.5763671875,67173.123046875,,0.004722381732417125,54.500652096857905,bear,hold
2021-09-01,66951.515625,67809.86838942308,66561.35527753497,66717.41941652098,1583907,65164.5763671875,67110.697578125,,0.0,56.6800059594493,bear,hold
2021-09-02,65390.87109375,66951.51240863664,65312.83902800567,66717.41621140364,1217158,65039.725390625,67010.8165625,,-0.03678151594137857,49.39950826612189,bear,hold
2021-09-03,67029.546875,67029.546875,65937.09791545401,66093.16205253202,1238659,65047.528515625,66937.4665625,,0.002333697749691943,55.81693275039104,bear,hold
2021-09-06,67263.640625,67653.80095345128,66561.35203378771,67107.57649361949,1372106,65070.937890625,66867.23765625,,0.007009272010234602,56.662506106683495,bear,hold
2021-09-07,67107.578125,67263.64226017441,66483.32158430232,67029.54605741278,782972,65063.134765625,66812.6153125,,-0.0023201613613224037,55.89451176652853,bear,hold
2021-09-08,68200.0234375,68980.34407179634,66561.35010547769,66561.35010547769,3140867,65187.986328125,66779.841875,,0.0380048330656555,59.98325492465789,bear,hold
2021-09-09,67107.578125,68512.15534156976,67107.578125,68278.05913880814,2430537,65301.133203125,66723.65890625,,0.03489783393336521,54.53842325446822,bear,hold
2021-09-10,64376.453125,67185.60744318181,63830.228674242426,66795.44712121211,3974698,65141.167578125,66598.8078125,,-0.04734408068351059,43.82748462623133,bear,hold
2021-09-13,64454.48828125,64844.64862193553,63830.231736153146,64220.39207683868,1367010,65039.7263671875,66483.320234375,,-0.03051629262230282,44.16490061359569,bear,hold
2021-09-14,65078.7421875,65937.09490220324,64844.64599258094,65000.71012252698,1530277,65047.5296875,66397.484921875,,0.0024038812998996573,46.9121168269289,bear,hold
2021-09-15,65000.7109375,65702.99953106242,64376.45440988895,64766.614739645855,1124683,65051.4314453125,66313.210390625,,0.0012019707338146723,46.603446019988134,bear,hold
2021-09-16,65937.1015625,65937.1015625,65078.74876109468,65234.812906804735,1424238,65211.39765625,66261.709296875,,0.050995179526689416,50.78804923392867,bear,hold
2021-09-17,65624.96875,66093.16115487515,65312.84048008323,65781.03288495837,1422626,65394.773046875,66218.011328125,,0.05919396561779089,49.39835083734659,bear,hold
2021-09-23,65702.9921875,65937.08835918944,64532.51132905285,64844.63955797209,1192354,65558.6400390625,66189.919609375,,0.052499889399683974,49.76835512959786,bear,hold
