Date,로테이션(금리보정),VOO B&H,phase
2023-01-27,950668.4084859195,986786.4135189031,expansion
2023-01-30,939542.1932618903,974453.8566342373,expansion
2023-01-31,951542.2589989987,988294.7598284613,expansion
2023-02-01,969056.9892329348,999118.7171128369,expansion
2023-02-02,978964.1423296573,1013436.1446043544,expansion
2023-02-03,965257.301536016,1002612.1028897349,expansion
2023-02-06,958259.0488431575,996816.4732186844,expansion
2023-02-07,969865.8269871707,1009678.1544426732,expansion
2023-02-08,960458.0666642229,998616.0194398948,expansion
2023-02-09,954321.9717535836,990068.1326740232,recovery
2023-02-10,952318.5874633244,992476.1676639427,recovery
2023-02-13,961996.4254904418,1003935.5469648722,recovery
2023-02-14,964365.2925133572,1003565.1514843217,expansion
2023-02-15,964960.3237434304,1006925.9817780958,expansion
2023-02-16,951407.3305064356,992926.0120041232,recovery
2023-02-17,948619.4664686298,990358.9948646993,recovery
2023-02-21,929018.6592072551,970695.6976120678,recovery
2023-02-22,927607.2063436122,969478.3823536737,recovery
2023-02-23,937124.6313235508,974348.0655384704,recovery
2023-02-24,926249.5792064964,963920.9304010259,recovery
2023-02-27,929384.8942862006,967255.5028889074,recovery
2023-02-28,928793.5109257194,963603.303822993,recovery
2023-03-01,926613.7549130456,960083.4913797143,recovery
2023-03-02,930182.2389783222,967255.5028889074,expansion
2023-03-03,944723.2185820832,982578.5790170411,expansion
2023-03-06,941543.6380580819,983769.4676090545,expansion
2023-03-07,930316.3717329568,968552.3514371759,expansion
2023-03-08,935420.5814587519,970060.6133164901,expansion
2023-03-09,923955.8436651573,952302.9911018121,recovery
2023-03-10,920665.9770176387,938647.1590024972,recovery
2023-03-13,921680.5123522853,937059.2794030646,fear
2023-03-14,931125.692957665,952620.279958869,recovery
2023-03-15,929308.9800761499,946745.3702886763,fear
2023-03-16,942984.259986861,962941.7928610345,recovery
2023-03-17,941465.8404747287,952408.782197579,fear
2023-03-20,947312.9966682652,961009.6911567003,recovery
2023-03-21,950461.748756235,973580.5101900126,recovery
2023-03-22,943814.5390620428,957437.1098109041,recovery
2023-03-23,951126.1533324518,959713.0114689199,recovery
2023-03-24,950570.5798415253,966109.1934657408,recovery
2023-03-27,945196.8801998328,967703.7430544515,recovery
2023-03-28,944590.2369224444,966002.8957885096,expansion
2023-03-29,956320.0242293007,979741.553957216,expansion
2023-03-30,963827.681017952,985587.7573444392,expansion
2023-03-31,973316.9451797266,999353.0110400144,expansion
2023-04-03,975299.2288734517,1003312.1984732142,expansion
2023-04-04,970052.6131290605,997651.8260530963,expansion
2023-04-05,966931.0151676652,995233.9971548696,expansion
2023-04-06,967284.5113124928,999034.0335780769,expansion
2023-04-10,969177.2165667112,1000123.4370167687,expansion
2023-04-11,969556.6968673728,1000256.4990813567,expansion
2023-04-12,964114.9217400631,996270.378400312,expansion
2023-04-13,972990.3417911982,1009184.9973873061,expansion
2023-04-14,968926.5607565474,1007112.2348964214,expansion
2023-04-17,969543.4114581809,1010540.2716644418,expansion
2023-04-18,971387.1502244525,1011231.164351322,expansion
2023-04-19,968542.5568766012,1011177.8888673404,expansion
2023-04-20,966095.5377647141,1005464.7475447054,expansion
2023-04-21,963345.6784835844,1006049.4269845983,expansion
2023-04-24,964628.6294000895,1007378.1057348652,expansion
2023-04-25,951081.2416096524,991460.5562585312,expansion
2023-04-26,946578.8359130255,987049.41372905,expansion
2023-04-27,956785.7588398624,1006634.1064244915,expansion
2023-04-28,966853.4622031694,1015243.7961289916,expansion
2023-05-01,964975.4435743093,1014553.0723025993,expansion
2023-05-02,959908.5135340244,1003179.5585598464,expansion
2023-05-03,954834.5052139142,996190.5918197057,expansion
2023-05-04,948971.752434508,988909.4964352285,recovery
2023-05-05,961611.2775098081,1007059.2127031719,expansion
2023-05-08,960745.7902256165,1007617.2966161963,expansion
2023-05-09,955492.8658224872,1003259.0918497208,expansion
2023-05-10,959927.8975745018,1007643.892143065,expansion
2023-05-11,957815.9409813107,1006235.4268121917,expansion
2023-05-12,956270.8915831912,1004880.0681048121,expansion
2023-05-15,962163.6113832608,1008361.3803568142,expansion
2023-05-16,955543.925662686,1001691.2222181227,expansion
2023-05-17,966739.5406489801,1013649.4154007689,expansion
2023-05-18,976013.5588680863,1023561.3571891551,expansion
2023-05-19,974578.3388326049,1021940.4653643077,expansion
2023-05-22,974973.7476900015,1022498.3804168442,expansion
2023-05-23,967566.2520725686,1011071.8444808414,expansion
2023-05-24,958298.2321794548,1003498.2827310516,recovery
2023-05-25,973278.7123524173,1012241.1189303838,expansion
2023-05-26,994884.2052764402,1025394.9287987087,expansion
2023-05-30,995907.8249780504,1025713.7374001581,expansion
2023-05-31,987847.5333012715,1020133.4892816227,expansion
2023-06-01,997515.1440973154,1029912.453435665,expansion
2023-06-02,1004774.7825368767,1045032.8969781318,expansion
2023-06-05,1000159.9058248266,1043013.4099712287,expansion
2023-06-06,1004556.0059015849,1045165.7057519876,expansion
2023-06-07,1001897.2536300865,1041737.6689839675,expansion
2023-06-08,1009212.0257730297,1047982.5519834901,expansion
2023-06-09,1009930.4805419417,1049736.3370124374,expansion
2023-06-12,1022097.1343432724,1059382.576822868,expansion
2023-06-13,1027729.2398172432,1066371.5435630085,expansion
2023-06-14,1031560.5790134628,1067195.1605935008,expansion
2023-06-15,1039499.6077551964,1080880.7121387136,expansion
2023-06-16,1035099.24338227,1076894.5070274246,expansion
2023-06-20,1029384.8110521322,1071925.1961546754,expansion
2023-06-21,1021011.755487598,1066052.4816708271,expansion
2023-06-22,1021464.8356178702,1069932.220244397,overheated
2023-06-23,1013636.1669497556,1061907.125549546,expansion
2023-06-26,1013076.1440879456,1057522.3252562014,expansion
2023-06-27,1026442.5291640207,1069241.4119877606,expansion
2023-06-28,1024911.6144526573,1069719.7937504228,expansion
2023-06-29,1026290.4593088902,1073817.5312140724,expansion
2023-06-30,1038332.349493068,1086543.1108846879,expansion
2023-07-03,1041185.4386894527,1088623.8942487554,expansion
2023-07-05,1034056.7473620404,1086196.0181514893,expansion
2023-07-06,1024217.264058195,1077338.9478319876,expansion
2023-07-07,1022987.0787133079,1074831.3695843592,expansion
2023-07-10,1029270.975316844,1077712.467231567,expansion
2023-07-11,1035296.9301070474,1084622.2384028095,expansion
2023-07-12,1045371.749810425,1093159.1492369575,expansion
2023-07-13,1054850.7288482387,1102069.5794706848,expansion
2023-07-14,1050228.6532771292,1101189.140885962,expansion
2023-07-17,1055621.6809242223,1105030.8858497192,expansion
2023-07-18,1062754.6578641182,1113407.8013714342,expansion
2023-07-19,1064878.8866864108,1115808.8286510995,expansion
2023-07-20,1054147.3371786044,1108525.7069407655,expansion
2023-07-21,1055838.7175629565,1108659.1067263298,expansion
2023-07-24,1057975.9659414534,1113354.1881664766,expansion
2023-07-25,1062385.673862687,1116635.6540308646,expansion
2023-07-26,1061129.7829993814,1116902.3691717486,expansion
2023-07-27,1056226.389637601,1109325.936793662,expansion
2023-07-28,1067205.482390143,1120130.3906916669,expansion
2023-07-31,1069509.954944531,1122291.4672178049,expansion
2023-08-01,1064100.908568545,1118823.4105141151,expansion
2023-08-02,1047141.0398512465,1103323.368594499,expansion
2023-08-03,1042331.8747567574,1100202.151333276,expansion
2023-08-04,1041594.8946616547,1094813.1377174638,expansion
2023-08-07,1047638.282098278,1104683.9619770085,expansion
2023-08-08,1042985.9676765419,1099908.587374791,expansion
2023-08-09,1036508.4192461781,1092598.7857073443,expansion
2023-08-10,1034002.491730127,1093239.1046780518,expansion
2023-08-11,1029871.2469927511,1092225.350738009,expansion
2023-08-14,1036146.3759120607,1098387.9142496046,expansion
2023-08-15,1024955.2274893931,1085795.7343645531,expansion
2023-08-16,1016177.1793819126,1077765.8271457925,expansion
2023-08-17,1010567.8140866791,1069042.0721816109,expansion
2023-08-18,1012696.0320532476,1070029.146164541,expansion
2023-08-21,1018784.3569506919,1077098.8282179723,expansion
2023-08-22,1015804.8788315877,1074084.2463549566,expansion
2023-08-23,1029476.24383297,1085662.587869721,expansion
2023-08-24,1015807.5865535651,1071229.8286648616,expansion
2023-08-25,1020525.8616885218,1078326.1062451617,expansion
2023-08-28,1026979.6152714582,1085422.2993952178,expansion
2023-08-29,1041705.6748319237,1100842.3014434956,expansion
2023-08-30,1044878.2062530632,1105431.0007761673,expansion
2023-08-31,1045640.5615321109,1104016.963049188,expansion
2023-09-01,1045486.344569548,1106364.5459843837,expansion
2023-09-05,1039172.2528343371,1101535.9803284286,expansion
2023-09-06,1033178.8656325153,1093932.7835629852,expansion
2023-09-07,1028314.7263424263,1090677.9976557097,expansion
2023-09-08,1029304.5016057933,1092172.0752540275,expansion
2023-09-11,1031772.5757136559,1099348.139414934,expansion
2023-09-12,1028037.9139596759,1093452.4599047103,expansion
2023-09-13,1028610.6337804118,1094733.0134158814,expansion
2023-09-14,1034808.6059023401,1104203.7227489778,overheated
2023-09-15,1022583.8626650526,1090437.8780416946,expansion
2023-09-18,1024931.8859301523,1091638.307251283,expansion
2023-09-19,1021204.4859056603,1089450.8040587644,expansion
2023-09-20,1014100.6501415201,1079259.735883622,expansion
2023-09-21,997361.6857239585,1061572.1907714873,expansion
2023-09-22,998526.5516992833,1059011.0837491455,expansion
2023-09-25,998446.2569746337,1063413.1078122715,expansion
2023-09-26,985774.1439183175,1047806.5149246922,expansion
2023-09-27,985317.2085751117,1048046.3812479753,expansion
2023-09-28,991445.257615108,1054160.397369255,expansion
2023-09-29,989282.0382968086,1051642.9407830753,expansion
2023-10-02,985570.7233715912,1051562.732051249,expansion
