Date,SOXX,466950.KS,469170.KS
2024-03-06,1203751.7159308714,1180941.9518295387,1112127.5178013304
2024-03-07,1217170.1068295734,1188459.9761652227,1118922.1167741113
2024-03-08,1205809.8120539277,1188940.6324475065,1116495.21470689
2024-03-11,1204200.9249033867,1180834.35634673,1116652.4014250569
2024-03-12,1211317.070638372,1183629.6826025888,1127381.478303087
2024-03-13,1206629.8803524377,1188091.9949142155,1128736.619873755
2024-03-14,1198226.4150882708,1181031.6581027093,1122014.067434458
2024-03-15,1192115.696299479,1173982.6823290333,1111905.6714154745
2024-03-18,1195388.036297121,1178557.7177686212,1115735.0136058917
2024-03-19,1197931.6107211835,1181862.9089859833,1117959.470684997
2024-03-20,1209283.3078921358,1189632.7079544321,1123271.6327757775
2024-03-21,1217156.3114081284,1197457.3498894894,1127960.9344748089
2024-03-22,1215672.6052786645,1197572.9476024136,1126789.0837581835
2024-03-25,1213308.5746204713,1197642.300796084,1125923.5983679332
2024-03-26,1209786.2840662026,1197180.3279858255,1121203.1741991153
2024-03-27,1222895.7162227358,1207343.8255428106,1129607.6888575512
2024-03-28,1225752.3825572145,1207645.8901899995,1128664.4371758678
2024-04-01,1224370.940878067,1205594.8103679703,1123453.9891047075
2024-04-02,1218048.2361721904,1202980.1838270898,1117361.5654433763
2024-04-03,1219705.6200528098,1200485.4631255977,1113066.5708359883
2024-04-04,1205863.8417460148,1196981.1312915506,1105970.024803585
2024-04-05,1214708.37812857,1198454.202936061,1108203.9739076216
2024-04-08,1216525.4921577876,1202708.1668953018,1113612.2247253652
2024-04-09,1222575.8418343829,1208013.021872753,1115221.6980921668
2024-04-11,1215152.0458644948,1199489.6094810965,1107381.2902801593
2024-04-12,1197485.4837166502,1194666.4550062448,1092506.4015001485
2024-04-15,1188035.4953958965,1185328.5732804246,1083212.1467150021
2024-04-16,1186418.6744355774,1176125.2669057955,1076241.9705756113
2024-04-17,1177889.0988555078,1173328.0140113092,1069454.6574581298
2024-04-18,1173352.4261898121,1170197.2781279287,1073740.865169115
2024-04-19,1165402.8422704039,1162743.1282534986,1069989.2563083577
2024-04-22,1170263.0606808777,1159818.4288831423,1078761.0680523433
2024-04-23,1181337.8331298358,1167166.2214426117,1084680.2723527756
2024-04-24,1182971.1031954433,1173581.8982410675,1090917.9235334096
2024-04-25,1182474.676453283,1162383.3685061536,1082678.490823674
2024-04-26,1192337.8078850363,1177294.1447561118,1087992.2137040636
2024-04-29,1197610.2203395348,1184251.4356570551,1095040.748469662
2024-04-30,1178992.7356601318,1170082.547779787,1080110.8469800493
2024-05-02,1181880.5224626479,1169788.230927142,1082884.0042107045
2024-05-03,1196598.8349136414,1181173.4928109553,1093703.0940257888
2024-05-07,1208398.1405816728,1197407.2048883871,1103018.3582227058
2024-05-08,1208322.0038214757,1195689.328967665,1103515.6341271577
2024-05-09,1214516.513542039,1202305.3503392371,1109406.5602719155
2024-05-10,1218480.9519128094,1204417.8164234837,1109464.4416374145
2024-05-13,1218343.9779794698,1205444.284675496,1106057.3712010842
2024-05-14,1227076.4368632569,1209891.4075969688,1111416.9703792175
2024-05-16,1241853.4342249525,1224240.873860527,1120629.1856119463
2024-05-17,1243021.977078868,1226404.258466681,1120538.710342215
2024-05-20,1248685.5082254768,1225701.9556205831,1120779.532756953
2024-05-21,1249309.7954599292,1230145.337540988,1118213.1664258745
2024-05-22,1247741.3823137477,1225922.3259110013,1111961.9171754783
2024-05-23,1236178.4240131588,1221718.6914383203,1101457.2953127318
2024-05-24,1246112.9037164948,1223374.3397036437,1101626.8473396143
2024-05-28,1249903.064543967,1229943.714779391,1104753.1348270027
2024-05-29,1235796.0835203133,1223583.7512955146,1089442.4054274363
2024-05-30,1232290.9006959165,1219361.1062198102,1084476.527129932
2024-05-31,1238126.6780237602,1225408.393685795,1092861.0969240195
2024-06-03,1241656.6801983095,1227392.4173980071,1102333.3908986917
2024-06-04,1241744.5614615392,1228797.6632389901,1102268.872897866
2024-06-05,1258463.6869669585,1236883.9578678568,1114680.7262481137
2024-06-07,1247283.8442127653,1230614.0187720745,1110127.4461295912
2024-06-10,1251370.1885907133,1232967.7456791697,1107915.2948854004
2024-06-11,1254044.700527013,1237910.3416858404,1117876.0900539157
2024-06-12,1265093.4474647127,1243912.7120635062,1123260.5075261674
2024-06-13,1268566.371209629,1250006.5553106437,1132853.5314476497
2024-06-14,1270604.342554392,1256747.1572614214,1134142.1795125145
2024-06-17,1276869.981552406,1259394.06898743,1133625.3760900549
2024-06-18,1283980.555114296,1265561.3496723233,1134838.0213105874
2024-06-20,1278987.2137213568,1271987.7855552947,1133422.656813099
2024-06-21,1273929.3404013729,1263762.079675484,1130489.3385748756
2024-06-24,1271657.3506882798,1263224.9871973842,1134281.1711296046
2024-06-25,1274377.8625943544,1259004.4616764719,1131801.4845031619
2024-06-26,1269404.687621253,1261045.5232256104,1129305.5590314732
2024-06-27,1271040.974178693,1258539.4517389021,1130724.6453906042
2024-06-28,1269129.2438655691,1257718.9533455973,1127125.1563963578
2024-07-01,1266650.2821376615,1254906.0616280846,1127688.345626373
2024-07-02,1274169.9975773317,1259423.7222739414,1124255.4287933537
2024-07-03,1282758.637211451,1267468.0159663153,1130152.331613946
2024-07-05,1289202.8447800733,1276404.4738819553,1136377.171395468
2024-07-08,1292209.0973715123,1275183.959751549,1136902.3938175233
2024-07-09,1292240.2145515394,1278852.7627830217,1134640.3240282366
2024-07-10,1305442.7951226952,1287804.3296474568,1140245.7513937938
2024-07-11,1301268.4222532727,1291056.828904396,1148175.9515723481
2024-07-12,1310184.1935117273,1291769.3451305055,1152940.7945473508
2024-07-15,1311382.3980263618,1295672.1881030137,1151183.4270889305
2024-07-16,1325181.682357996,1307319.4640780506,1156915.625586228
2024-07-17,1305922.5129916407,1298335.9320503417,1149330.5144477661
2024-07-18,1297918.5533151184,1283135.355604268,1143021.8175960227
2024-07-19,1283426.0503359358,1274666.7474375346,1138369.8471772033
2024-07-22,1296194.3196100658,1276788.0846101278,1136805.984725364
2024-07-23,1290605.921683609,1277146.2546659508,1131224.706445447
2024-07-24,1266729.3781449036,1261110.5195864614,1114092.0367225953
2024-07-25,1260796.934674892,1251457.9977694862,1113050.442405811
2024-07-26,1277171.1068042377,1263108.6442322892,1120890.7924957122
2024-07-29,1276951.5651003097,1265210.8470421236,1124138.897691664
2024-07-30,1271957.6350997165,1263665.5029563191,1123450.0288045234
2024-07-31,1295308.5272388875,1274811.2147073867,1134224.2286838377
2024-08-01,1266462.108432022,1272138.9725066908,1132996.1811830087
2024-08-02,1243073.0788043896,1245552.9697090236,1119419.9326461577
2024-08-05,1215670.3579973527,1192221.0869128658,1073244.741934653
2024-08-06,1221236.4388499411,1220584.0920454303,1088617.8768330563
2024-08-07,1208759.5720460555,1215766.7528176238,1080379.7706027667
2024-08-08,1242014.573452219,1228425.4438425647,1087638.1482715541
2024-08-09,1244519.7963046646,1240418.403567422,1098359.923655588
2024-08-12,1247652.2904549155,1245218.9530213177,1101834.0059143868
2024-08-13,1270050.6351962867,1260651.413005852,1110514.1553036058
2024-08-14,1271478.3303929796,1267021.2380423408,1115191.770494249
2024-08-16,1299875.2193216952,1294314.9992089875,1134970.7794568844
2024-08-19,1311843.6079306959,1293732.6123027783,1133358.3740833004
2024-08-20,1308136.01623428,1297843.4039554494,1134681.5056350539
2024-08-21,1314744.1125802526,1300740.8175794706,1142061.5886736864
2024-08-22,1297535.2455678433,1292801.9398865607,1144053.7116296163
2024-08-23,1315814.369031994,1301802.36291146,1150855.1342975914
2024-08-26,1307934.6995676225,1300563.039964414,1152743.5148380862
2024-08-28,1302167.1824390604,1296117.9914296777,1141791.3883506786
2024-08-29,1302491.4893847075,1289466.15308354,1149240.2761324611
2024-08-30,1314631.5435893526,1299679.2725704678,1154702.8625160798
2024-09-03,1281355.5903883292,1286542.6248329827,1160055.7173290902
